position,00 dias,10 dias,20 dias,30 dias,40 dias,50 dias,60 dias,70 dias,80 dias,90 dias,100 dias,110 dias,120 dias
800.0,86.0,86.2532474172165,86.84309473768717,87.45951358720271,88.26601030839704,104.43684315774718,138.31930603549972,175.21279358080773,215.0959927605475,258.0876273911754,304.2947517247191,353.85644543425985,406.8756670415094
810.0,86.0,86.2220024398747,86.77148093264762,87.36799373852354,88.16778162249264,104.35422490188105,138.24796543356686,175.1413812916578,215.02418413369153,258.0154091469034,304.22210067147944,353.7833577687271,406.802118601015
820.0,86.0,86.19458186576836,86.7060652979794,87.28281564753765,88.07317208367986,104.27616869828196,138.1811609006693,175.0745222120446,214.9569544807668,257.94779598673733,304.1540822523361,353.71493081965025,406.73325988475295
830.0,86.0,86.17054519543169,86.64641474757491,87.20398053354783,87.9821205131964,104.20253012794547,138.11871247213827,175.01203435120308,214.89412071619338,257.88460378828756,304.09051125166053,353.6509782189757,406.66890336362854
840.0,86.0,86.14950078082418,86.59212738496372,87.13107205354403,87.89492518997214,104.13318456339525,138.0604589844243,174.95375463947164,214.8355187897182,257.82566757412167,304.0312217144204,353.59133297985557,406.60888101135447
850.0,86.0,86.13110121897184,86.54283086942215,87.06381748908912,87.81186035391525,104.06802529560922,138.00625620905075,174.89953704276567,214.78100177948693,257.77083958459565,303.97606499894016,353.53584552956306,406.55304231693395
860.0,86.0,86.11503909394348,86.49818101366155,87.00196304340625,87.73317640796684,104.00696145300378,137.95597484698,174.8492505640354,214.7304378949272,257.7199872812094,303.92490777913247,353.4843817093491,406.50125227955095
870.0,86.0,86.10104306391707,86.45786056089935,86.9452730767319,87.65910074641894,103.94991657151552,137.90949911019203,174.8027778137152,214.6837090334494,257.6729918901983,303.87763057492623,353.43682129174795,406.4533904217849
880.0,86.0,86.08887428683606,86.42157810076802,86.89352938382086,87.58983849178487,103.8968272663867,137.86672543315743,174.76001371804503,214.64070948191193,257.62974709721163,303.8341264396893,353.3930566604215,406.4093484938467
890.0,86.0,86.07832317512312,86.38906709418931,86.84653062350861,87.52557325506503,103.84764207201279,137.8275613598634,174.720864403446,214.60134479461385,257.59015791902755,303.7942998253106,353.35299166837245,406.3690297206923
900.0,86.0,86.0692064674229,86.36008498630481,86.80409187813187,87.46646794967548,103.80232042398518,137.79192458420107,174.68524623521685,214.56553082647483,257.55413973129134,303.7580656041862,353.31654065397703,406.33234787972583
910.0,86.0,86.06136460351739,86.33441239369947,86.76604431838147,87.41266566532852,103.76083175773658,137.7597421224281,174.65308498915832,214.53319289991526,257.5216174306965,303.72534822644263,353.2836275930745,406.2992264483119
920.0,86.0,86.05465938741926,86.31185235763613,86.73223495145871,87.36429136881247,103.7231546996352,137.73094959564853,174.6243151342368,214.50426508368838,257.492524709973,303.69608099084746,353.25418536563865,406.2695978662707
930.0,86.0,86.04897192315259,86.29222965907489,86.70252643382712,87.32145384501663,103.68927635578424,137.70549061234522,174.59887921595111,214.47868957302057,257.4668034347003,303.6702054181565,353.22815512551773,406.24340290188934
940.0,86.0,86.04420080780152,86.27539019413963,86.67679693336815,87.28424692125662,103.65919175819798,137.6833162443847,174.5767273336049,214.45641615943887,257.44440311563403,303.6476707204008,353.205485766583,406.22059011476887
950.0,86.0,86.04026056695625,86.26120041064712,86.6549400289404,87.25261489595152,103.63300535074794,137.66438471164278,174.55781682114463,214.43740192275962,257.42528057370976,303.62843345974994,353.18613357565596,406.20111550299225
960.0,86.0,86.03708031862308,86.2495468075378,86.63686463806704,87.22642492782728,103.61090349207714,137.6486608159915,174.5421116960316,214.4216106717642,257.40939939696955,303.61245700716506,353.17006169241137,406.184941963638
970.0,86.0,86.03460265291038,86.24033549971203,86.62249496572186,87.20558271816087,103.5930398700033,137.63611568883252,174.52958241760777,214.40901269445627,257.39672969227166,303.59971129139706,353.1572398557322,406.1720390364915
980.0,86.0,86.03278271628473,86.23349185101931,86.61177046899424,87.19001438774794,103.57953637972723,137.62672653257263,174.52020563891406,214.39958450859498,257.3872478344154,303.59017254669226,353.14764414994676,406.16238264870054
990.0,86.0,86.03158749085253,86.22896017808254,86.60464583384605,87.17966533038522,103.57048384935366,137.62047642218343,174.51396401599433,214.39330866967475,257.3809362726986,303.58382311795,353.14125680856426,406.1559549170136
1000.0,86.0,86.03099526091286,86.22670352735254,86.6010909612991,87.17449960296564,103.56594255567883,137.61735415564567,174.51084606429814,214.3901736265533,257.37778338567495,303.580651314613,353.1380660672683,406.1527439998093
