position,0 años,1 años,2 años,3 años,4 años,5 años,6 años,7 años,8 años,9 años,10 años,11 años,12 años,13 años,14 años,15 años,16 años,17 años,18 años,19 años,20 años,21 años,22 años,23 años,24 años,25 años,26 años,27 años,28 años,29 años,30 años
690.0,86.0,96.83856940120803,96.99011721506771,97.14319518646533,97.29814946243476,97.4553125088173,97.61454533160752,97.77598080081647,97.93972044709983,98.1058543364405,98.27453251795093,98.44577217156603,99.24366783105353,105.63023389193053,117.39974840666267,129.511219392956,141.99925933806338,154.83944891514608,168.07538071318754,181.68582327278256,195.677094238622,210.06219404781172,224.85554808107074,240.05030927403493,255.65396983158658,271.67312989018757,288.11398961532143,304.9816972735274,322.28279860956457,340.0336444136873,358.22499683460524
700.0,86.0,96.7572997221202,96.90752289107536,97.05932493818871,97.21304806143065,97.36902233859635,97.52710602623077,97.68742631146193,97.85007925599,98.01514460305076,98.18275850193235,98.35292689425859,99.14897881919326,105.53384193057663,117.30262911323159,129.41276417847146,141.89933219870662,154.73798329972948,167.97227767152162,181.58096907462726,195.5704038197228,209.95353745986048,224.74482004669738,239.93735566142382,255.53871102517056,271.5553807698797,287.99367776695925,304.8586384072312,322.1569108545392,339.90475193245936,358.0930420112547
710.0,86.0,96.6830757132484,96.83210894100834,96.98276191629631,97.13537386513983,97.29027309310082,97.4473163000572,97.6066271871325,97.76829964917906,97.93240848908661,98.09908242544995,98.26832225128146,99.06273748329964,105.44611342583312,117.21437332667782,129.32343962165933,141.8088606375895,154.6463183877666,167.87934479571493,181.48672301309898,195.4747879911058,209.856463764057,224.6462103705635,239.8371405202785,255.4367900077177,271.45168865390406,287.88809143088105,304.75109862112276,322.0472854363473,339.7929761261794,357.97899567203297
720.0,86.0,96.61516677521342,96.76312818445106,96.9127439527571,97.0643510331741,97.21827631840387,97.37437550926184,97.53276975185138,97.69355201478741,97.85679459924141,98.02262210402772,98.19103380642778,98.98396227065935,105.3659984407415,117.1338566637351,129.242027411145,141.72649516964526,154.56298491745164,167.79500940026583,181.40135227061967,195.38833480751828,209.76889704637068,224.55748055314703,239.74719133652474,255.34556318331926,271.3591314008719,287.7941495614213,304.6556933750919,321.95037031621405,339.6944605024658,357.8788196916085
730.0,86.0,96.55294267676477,96.69993633394705,96.84861388868039,96.99931054964422,97.15235205183316,97.30759342560962,97.46515374459065,97.62512549517055,97.78757952776941,97.95263782455143,98.12029985311973,98.9118603068595,105.29266516229752,117.06020082527095,129.16759412498837,141.65124190759366,154.48691040362226,167.71809331665256,181.32358547737965,195.30970230279758,209.6893755828859,224.4770259829403,239.6657763687169,255.26316543989944,271.27571575172897,287.7096663236283,304.5701010220038,321.86363141152225,339.6065325611707,357.7896370292594
740.0,86.0,96.49585650776343,96.64197449325862,96.78980175820709,96.93967216867448,97.09191049756676,97.24637133159565,97.4031719899545,97.56240464718385,97.72413918277162,97.88849562805868,98.05547428793633,98.8457683551024,105.22542945783925,116.99269550737723,129.09939618567006,141.58231826551102,154.4172683105846,167.64772218190467,181.25248559708967,195.23786879166028,209.61680095877006,224.40369270134843,239.59166900233802,255.1882588583478,271.1999850809084,287.63309584359837,304.49266912202773,321.78531316462005,339.52728091149737,357.7094232487356
750.0,86.0,96.44343112617507,96.58875525261675,96.73581060359179,96.88493000908994,97.03643743324864,97.19018718595176,97.3462950759597,97.50485304699525,97.66593026489532,97.82964513752421,97.995998983695,98.78511785694242,105.16371131128479,116.9307465012455,129.0368205135839,141.51908813011244,154.35339522160837,167.58320125775313,181.1873231855413,195.1720670120865,209.55035868955582,224.33660007676073,239.52392031551088,255.11985032745585,271.130905046286,287.56332667865576,304.4221935516336,321.7141137570832,339.4553418894663,357.63672884705716
760.0,86.0,96.39524826337791,96.5398515148359,96.68620506869573,96.8346409549126,96.98548245063233,97.13858371375073,97.29405924209529,97.45200079826348,97.61247700002464,97.7756048311298,97.94138662493339,98.72941407436035,105.10700897646416,116.87384404433624,128.97934652492594,141.46101769866905,154.2947413771318,167.5239618606151,181.12750764986413,195.11168144996356,209.48940605513542,224.2750758649633,239.46182417334782,255.05718277610097,271.0676609914262,287.4995028956184,304.35778490910377,321.64910941056354,339.3897229327179,357.57048481199683
770.0,86.0,96.3509396924472,96.49488743304863,96.64060214315276,96.78841523497644,96.93864939617013,97.09115872603228,97.24605657854836,97.40343457096218,97.5633608934101,97.72595125446558,97.89120894777635,98.6782227179413,105.05488316579769,116.82154378703524,128.92652310075667,141.40764791789556,154.24083834348377,167.46952443257356,181.07254634610655,195.05620416673233,209.4334178008311,224.21857527132363,239.4048142296598,254.99966698753548,271.0096386887493,287.4409740784042,304.29874854965374,321.58956147866184,339.3296575729348,357.5098985441014
780.0,86.0,96.3101800017553,96.4535310017845,96.59866359500649,96.74590871660862,96.89558854391097,97.0475571874249,97.20192699912579,97.3587894786128,97.51821248130736,97.68031056545365,97.84508791857776,98.63116049166516,105.00694654229451,116.77345474137633,128.87795443332286,141.35857767412156,154.1912790624288,167.41947511833072,181.02201755422223,195.00520425982506,209.38195249887772,224.16664473687993,239.35242317575404,254.94682049806622,270.956338774734,287.3872229669927,304.24454792830807,321.53491052141624,339.2745529046409,357.454339981981
790.0,86.0,96.27268066153003,96.41548797764659,96.56008975441686,96.70681656637865,96.85599014818722,97.00746467417082,97.16135161593267,97.31774237752619,97.47670455305487,97.63835166009254,97.80268871432689,98.58788783564164,104.96285604761609,116.72923093891808,128.83329070984894,141.3134531392659,154.1457054684602,167.37345127581156,180.97555356694016,194.95830829173138,209.33463024644058,224.1188969363267,239.30425519915661,254.89823799687272,270.9073451386333,287.33782162327805,304.19474210066454,321.484701409838,339.2239389316437,357.4033230861457
800.0,86.0,96.23818522128747,96.38049688277707,96.52461437586805,96.6708679984526,96.81957909562516,96.97060194242563,97.12404723402386,97.28000629623645,97.438546520099,97.59978048036031,97.76371395887195,98.54810306708688,104.92230688342049,116.68856513427156,128.79222140154272,141.2719604553351,154.10380033558525,167.3311322213813,180.93283006453183,194.915188026067,209.29111855770455,224.0749946474539,239.25996774478725,254.8535710050353,270.8623025446612,287.2924073206556,304.1489599905327,321.4385537850491,339.1774252723462,357.35644653940557
810.0,86.0,96.20646506722225,96.3483247343528,96.49200030489109,96.63782186931927,96.78611042871837,96.93672038493575,97.08976174653033,97.24532577482378,97.40347970419145,97.5643352545145,97.7278989158649,98.51153752480218,104.88502758762341,116.65118376090189,128.7544700475196,141.23382026225173,154.06528143378776,167.29223286910943,180.89355906882523,194.87555250506458,209.25112338229957,224.03464051914793,239.21925987327504,254.8125147078502,270.8209018376806,287.25066612963076,304.10688236499357,321.39614248536526,339.13468028727164,357.31337155882585
